sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
HBG103953,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103953,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Faux Leather Shoulder Bag</p>,1,1,0,"Catalog, Search",,,,,hbg103953,HBG103953,HBG103953,HBG103953 Faux Leather Shoulder Bag,/h/b/hbg103953.jpg,,/h/b/hbg103953.jpg,,/h/b/hbg103953.jpg,,,,"4/5/22, 1:10 PM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103953.jpg,,,,,,,,,,,,,"sku=HBG103953B,color=Black|sku=HBG103953GR,color=Green|sku=HBG103953MIN,color=Mint|sku=HBG103953PN,color=Pink|sku=HBG103953YL,color=Yellow",color=Color
HBG103954,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103954,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Faux Leather Ladies Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103954,HBG103954,HBG103954,HBG103954 Faux Leather Ladies Handbag,/h/b/hbg103954.jpg,,/h/b/hbg103954.jpg,,/h/b/hbg103954.jpg,,,,"4/5/22, 1:53 PM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103954.jpg,,,,,,,,,,,,,"sku=HBG103954B,color=Black|sku=HBG103954BEI,color=Beige|sku=HBG103954BL,color=Blue|sku=HBG103954GR,color=Green|sku=HBG103954MIN,color=Mint|sku=HBG103954PN,color=Pink|sku=HBG103954W,color=White|sku=HBG103954YL,color=Yellow",color=Color
HBG103955,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103955,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ","<p>Ladies Faux Leather Handbag</p>
<p>Measurements: L 7.5"" x H 5.5"" x W 3""</p>
<p>Handle Drop: 3""</p>",1,1,0,"Catalog, Search",,,,,hbg103955,HBG103955,HBG103955,HBG103955 Ladies Faux Leather Handbag,/h/b/hbg103955_min.jpg,,/h/b/hbg103955_min.jpg,,/h/b/hbg103955_min.jpg,,,,"4/5/22, 2:03 PM","4/26/25, 10:48 AM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103955_min.jpg,,,,,,,,,,,,,"sku=HBG103955B,color=Black|sku=HBG103955KH,color=Khaki|sku=HBG103955MA,color=Mauve|sku=HBG103955MIN,color=Mint|sku=HBG103955W,color=White",color=Color
HBG103957,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103957,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Faux Leather ladies handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103957,HBG103957,HBG103957,HBG103957 Faux Leather Ladies handbag,/h/b/hbg103957_pn_1_.jpg,,/h/b/hbg103957_pn_1_.jpg,,/h/b/hbg103957_pn_1_.jpg,,,,"4/5/22, 2:16 PM","4/26/25, 10:52 AM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103957_pn_1_.jpg,,,,,,,,,,,,,"sku=HBG103957BEI,color=Beige|sku=HBG103957BL,color=Blue|sku=HBG103957MIN,color=Mint|sku=HBG103957PN,color=Pink|sku=HBG103957W,color=White|sku=HBG103957YL,color=Yellow",color=Color
HBG103958,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103958,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Faux Leather Ladies Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103958,HBG103958,HBG103958,HBG103958 Ladies Faux Leather Handbag,/h/b/hbg103958_yl.jpg,,/h/b/hbg103958_yl.jpg,,/h/b/hbg103958_yl.jpg,,,,"4/5/22, 2:24 PM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103958_yl.jpg,,,,,,,,,,,,,"sku=HBG103958B,color=Black|sku=HBG103958BEI,color=Beige|sku=HBG103958BL,color=Blue|sku=HBG103958MIN,color=Mint|sku=HBG103958PN,color=Pink|sku=HBG103958YL,color=Yellow",color=Color
HBG103959,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103959,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Faux Leather Handbags</p>,1,1,0,"Catalog, Search",,,,,hbg103959,HBG103959,HBG103959,HBG103959 Ladies Faux Leather Handbag,/h/b/hbg103959_b_1_.jpg,,/h/b/hbg103959_b_1_.jpg,,/h/b/hbg103959_b_1_.jpg,,,,"4/5/22, 2:33 PM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103959_b_1_.jpg,,,,,,,,,,,,,"sku=HBG103959B,color=Black|sku=HBG103959BEI,color=Beige|sku=HBG103959KH,color=Khaki|sku=HBG103959MU,color=Mustard|sku=HBG103959PN,color=Pink",color=Color
HBG104044,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG104044,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg104044,HBG104044,HBG104044,HBG104044 Ladies Handbag,/h/b/hbg104044yl.jpg,,/h/b/hbg104044yl.jpg,,/h/b/hbg104044yl.jpg,,,,"4/15/22, 10:37 AM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg104044yl.jpg,,,,,,,,,,,,,"sku=HBG104044B,color=Black|sku=HBG104044LBL,color=Light Blue|sku=HBG104044YL,color=Yellow",color=Color
HBG104045,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG104045,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg104045,HBG104045,HBG104045,HBG104045 Ladies Handbag,/h/b/hbg104045pn.jpg,,/h/b/hbg104045pn.jpg,,/h/b/hbg104045pn.jpg,,,,"4/15/22, 10:45 AM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg104045pn.jpg,,,,,,,,,,,,,"sku=HBG104045B,color=Black|sku=HBG104045BL,color=Blue|sku=HBG104045PN,color=Pink|sku=HBG104045W,color=White|sku=HBG104045YL,color=Yellow",color=Color
HBG103969,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103969,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103969,HBG103969,HBG103969,HBG103969 Ladies Handbag,/h/b/hbg103969or.jpg,,/h/b/hbg103969or.jpg,,/h/b/hbg103969or.jpg,,,,"5/14/22, 9:52 AM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=L",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103969or.jpg,,,,,,,,,,,,,"sku=HBG103969BEI,color=Beige|sku=HBG103969BL,color=Blue|sku=HBG103969OR,color=Orange|sku=HBG103969PN,color=Pink|sku=HBG103969PU,color=Purple",color=Color
HBG103970,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103970,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103970,HBG103970,HBG103970,HBG103970 Ladies Handbag,/h/b/hbg103970fu.jpg,,/h/b/hbg103970fu.jpg,,/h/b/hbg103970fu.jpg,,,,"5/14/22, 10:19 AM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103970fu.jpg,,,,,,,,,,,,,"sku=HBG103970B,color=Black|sku=HBG103970BL,color=Blue|sku=HBG103970FU,color=Fuchsia|sku=HBG103970KH,color=Khaki|sku=HBG103970OR,color=Orange",color=Color
HBG103930,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103930,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103930,HBG103930,HBG103930,HBG103930 Ladies Handbag,/h/b/hbg103930w.jpg,,/h/b/hbg103930w.jpg,,/h/b/hbg103930w.jpg,,,,"5/17/22, 2:18 PM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=L",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103930w.jpg,,,,,,,,,,,,,"sku=HBG103930W,color=White|sku=HBG103930YL,color=Yellow",color=Color
HBG103115B,,Default,simple,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103115-Black,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Faux Leather Handbag</p>,1,1,0,Not Visible Individually,3.5,,,,hbg103115-black,HBG103115,HBG103115,HBG103115 Ladies Faux Leather Handbag,/h/b/hbg103115_b_1.jpg,,/h/b/hbg103115_b_1.jpg,,/h/b/hbg103115_b_1.jpg,,/h/b/hbg103115_b_1.jpg,,"4/7/23, 10:13 AM","3/9/25, 7:54 PM",,,Block after Info Column,,,,No,,,,,,,,,"color=Black,sale=No,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103115_b_1.jpg,,,,,,,,,,,,,,
HBG103115BL,,Default,simple,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103115-Blue,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Faux Leather Handbag</p>,1,1,0,Not Visible Individually,3.5,,,,hbg103115-blue,HBG103115,HBG103115,HBG103115 Ladies Faux Leather Handbag,/h/b/hbg103115_bl_1.jpg,,/h/b/hbg103115_bl_1.jpg,,/h/b/hbg103115_bl_1.jpg,,/h/b/hbg103115_bl_1.jpg,,"4/7/23, 10:13 AM","3/9/25, 7:54 PM",,,Block after Info Column,,,,No,,,,,,,,,"color=Blue,sale=No,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103115_bl_1.jpg,,,,,,,,,,,,,,
HBG103115R,,Default,simple,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103115-Red,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Faux Leather Handbag</p>,1,1,0,Not Visible Individually,3.5,,,,hbg103115-red,HBG103115,HBG103115,HBG103115 Ladies Faux Leather Handbag,/h/b/hbg103115_r_1_1.jpg,,/h/b/hbg103115_r_1_1.jpg,,/h/b/hbg103115_r_1_1.jpg,,/h/b/hbg103115_r_1_1.jpg,,"4/7/23, 10:13 AM","3/9/25, 7:54 PM",,,Block after Info Column,,,,No,,,,,,,,,"color=Red,sale=No,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103115_r_1_1.jpg,,,,,,,,,,,,,,
HBG103115,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103115,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Faux Leather Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103115,HBG103115,HBG103115,HBG103115 Ladies Faux Leather Handbag,/h/b/hbg103115_r.jpg,,/h/b/hbg103115_r.jpg,,/h/b/hbg103115_r.jpg,,,,"4/7/23, 10:13 AM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=57,sale=No,size=S",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103115_r.jpg,,,,,,,,,,,,,"sku=HBG103115B,color=Black|sku=HBG103115BL,color=Blue|sku=HBG103115R,color=Red",color=Color
HBG103393,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103393,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ","<p>Ladies Faux Leather Handbag</p>
<p>Dimensions: 13"" L x 4"" W x 11"" H</p>",1,1,0,"Catalog, Search",,,,,hbg103393,HBG103393,HBG103393,HBG103393 Ladies Faux Leather Handbag,/h/b/hbg103393_gy.jpg,,/h/b/hbg103393_gy.jpg,,/h/b/hbg103393_gy.jpg,,,,"4/18/23, 4:47 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=L",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103393_gy.jpg,,,,,,,,,,,,,"sku=HBG103393BEI,color=Beige|sku=HBG103393GY,color=Gray",color=Color
